iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"166,263,840.24"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CB","CHUBB LTD","Equity","10.60","136.25","129,319.00","17,619,713.75","17,619,713.75","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","9.71","62.43","258,513.00","16,138,966.59","16,138,966.59","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","9.60","52.82","302,045.00","15,954,016.90","15,954,016.90","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","7.67","106.68","119,516.00","12,749,966.88","12,749,966.88","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","5.64","120.54","77,803.00","9,378,373.62","9,378,373.62","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","4.98","81.49","101,618.00","8,280,850.82","8,280,850.82","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","4.87","72.42","111,734.00","8,091,776.28","8,091,776.28","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","3.81","39.18","161,824.00","6,340,264.32","6,340,264.32","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","3.02","48.07","104,327.00","5,014,998.89","5,014,998.89","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","2.83","63.11","74,626.00","4,709,646.86","4,709,646.86","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","2.48","65.45","62,931.00","4,118,833.95","4,118,833.95","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","2.30","975.86","3,912.00","3,817,564.32","3,817,564.32","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","2.17","46.77","77,208.00","3,611,018.16","3,611,018.16","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","1.95","94.77","34,242.00","3,245,114.34","3,245,114.34","Financials","2740542","BMG0450A1053","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","1.83","72.27","41,995.00","3,034,978.65","3,034,978.65","Financials","2196888","US1720621010","NASDAQ"
"UNM","UNUM GROUP","Equity","1.81","46.89","64,234.00","3,011,932.26","3,011,932.26","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","1.78","39.86","74,242.00","2,959,286.12","2,959,286.12","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","1.70","56.54","50,073.00","2,831,127.42","2,831,127.42","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","1.43","77.04","30,775.00","2,370,906.00","2,370,906.00","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","1.22","37.96","53,364.00","2,025,697.44","2,025,697.44","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","1.19","614.66","3,216.00","1,976,746.56","1,976,746.56","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC.","Equity","1.18","95.42","20,597.00","1,965,365.74","1,965,365.74","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","1.16","70.63","27,332.00","1,930,459.16","1,930,459.16","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","1.01","67.03","24,956.00","1,672,800.68","1,672,800.68","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.91","95.67","15,757.00","1,507,472.19","1,507,472.19","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.84","20.48","67,913.00","1,390,858.24","1,390,858.24","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"AGO","ASSURED GUARANTY LTD.","Equity","0.82","37.11","36,868.00","1,368,171.48","1,368,171.48","Financials","B00V7H8","BMG0585R1060","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.82","41.72","32,565.00","1,358,611.80","1,358,611.80","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"AWH","ALLIED WORLD ASSURANCE COMPANY HOL","Equity","0.79","53.10","24,701.00","1,311,623.10","1,311,623.10","Financials","B4LMCN9","CH0121032772","New York Stock Exchange Inc."
